0.598175	0.583947	0.735391	0.849537	0.667718	0.528974	0.678837	0.640404	0.405373	
0.561189	0.337555	0.682607	0.0892858	0.530754	0.560287	0.338029	0.382926	0.678666	
0.847804	0.514282	0.989449	0.411952	0.528302	0.228705	0.654253	0.520245	0.925403	
0.671474	0.333834	0.0499233	0.98664	0.93201	0.63387	0.722031	0.781547	0.301588	
0.251005	0.460384	0.941991	0.656378	0.0215728	0.279547	0.338985	0.110859	0.810301	
0.672697	0.448887	0.193226	0.577938	0.296691	0.707508	0.567388	0.708643	0.23581	
-0.631114	0.362895	-0.65097	0.721495	0.0343692	0.0898891	-1.15606	0.0210095	0.021899	
0.405289	-1.82818	-0.169135	-1.32529	-0.847846	0.26383	0.648868	0.650423	0.285402	
-0.909206	-2.45684	0.396261	0.738715	0.888681	0.845148	-0.832906	0.466619	0.141839	
0.63945	0.0340065	0.850482	0.87526	0.830099	0.213377	0.631314	0.551594	0.247746	
0.721203	0.323013	0.268756	0.743102	0.728301	0.0117959	0.546548	0.435178	0.00584132	
0.810378	0.0840454	0.656265	0.0957802	0.0124599	0.645673	0.492041	0.751175	0.534354	
0.33719	0.683117	0.000972604	0.479029	0.322567	0.0349791	0.32951	0.197827	0.865078	
0.542887	0.829141	0.416672	0.790633	0.550344	0.739685	0.0593885	0.293447	0.467986	
0.0711844	0.839995	-2.89593	0.0770257	0.650372	-1.08256	0.73329	0.746153	-1.16768	
0.378963	0.238194	0.750844	0.913317	0.575384	0.433961	0.91429	0.0544121	0.756528	
0.949269	0.383922	0.954354	0.814347	0.926809	0.783495	0.231019	0.717442	0.333839	
0.970704	0.776831	0.627286	0.43869	0.848015	0.467281	0.341853	0.925041	0.117653	
0.329062	0.658331	0.863806	0.32873	0.0372945	0.102	0.0795742	0.950612	0.677383	
0.513535	0.864902	0.731796	0.270063	0.814171	0.115718	0.224417	0.628518	0.0425269	
0.00791188	0.859537	0.759969	0.341751	0.830241	0.5368	0.969037	0.268931	0.384815	
0.436318	0.610784	0.309855	0.553972	0.939846	0.968186	0.417777	0.268576	0.00548091	
0.519777	0.34815	0.956093	0.197161	0.861685	0.820994	0.928957	0.131748	0.635165	
0.0446743	0.356165	0.263682	0.0872012	0.364077	0.123219	0.84717	0.705828	0.95346	
