0.682364	0.497827	0.742129	0.217278	0.294768	0.736528	0.0653061	0.870816	
0.486365	0.824629	0.356012	0.839043	0.327228	0.159381	0.932469	0.676755	
0.774368	0.344028	0.241096	0.596789	0.828795	0.769161	0.489343	0.645188	
0.509299	0.00967628	0.915922	0.683984	0.758506	0.662999	0.932097	0.44087	
0.160826	0.674226	0.658148	0.455594	0.410754	0.723454	0.326409	0.897119	
0.548083	0.682421	-1.11072	-0.875542	0.411339	0.668631	0.552066	0.61617	
0.0126589	-0.936848	0.212958	-0.860071	0.562323	-0.312489	0.486642	0.0716214	
-1.38098	0.402564	-0.302599	0.470484	0.0655631	0.687703	-1.72512	0.226389	
0.361929	0.569503	-1.05293	-1.22268	0.292957	0.00839218	0.669802	-0.00250237	
0.690813	0.405963	0.716351	0.532615	0.0745943	0.268417	0.148784	0.0872533	
0.0615789	0.361743	0.928707	0.623901	0.0640445	0.415349	0.695523	0.776022	
0.817913	0.451129	0.246507	0.883476	0.138832	0.157861	0.109865	0.50076	
0.727364	0.791848	0.273443	0.0203206	0.80024	0.943245	0.861361	0.491054	
0.349208	0.577711	0.0236687	0.423803	0.846128	0.172453	0.511056	0.907707	
0.534196	0.439763	0.531608	-1.02149	-2.62235	0.227131	0.374263	-1.8612	
0.67826	0.62077	0.556502	0.817092	0.778631	0.666367	0.317852	0.505995	
0.458215	0.591295	0.526315	0.258456	0.53454	0.387676	0.74951	0.883748	
0.965387	0.773178	0.307551	0.811515	0.945632	0.818607	0.719222	0.479828	
0.258369	0.250831	0.0780681	0.113481	0.477962	0.452331	0.786507	0.156222	
0.073101	0.343008	0.973313	0.851732	0.00937559	0.291165	0.357727	0.467591	
0.88246	0.884042	0.726047	0.417	0.271718	0.475556	0.300748	0.237105	
0.248735	0.608299	0.0486204	0.194366	0.426905	0.767842	0.674194	0.685275	
0.018673	0.752262	0.798756	0.496635	0.204593	0.585263	0.652857	0.277694	
0.928271	0.62617	0.129426	0.937647	0.917335	0.487153	0.405238	0.799795	
0.371195	0.131285	0.216795	0.642913	0.606841	0.517543	0.880018	0.855576	
0.125842	0.928639	0.0499425	0.552748	0.696481	0.724136	0.238022	0.715154	
